[Name],,,,,
Momentum and Mass,,,,,
,,,,,
[Data],,,,,
Accumulated Timestep,RMS P-Mass,RMS U-Mom,RMS V-Mom,RMS W-Mom,Current Timestep
1893,6.56E-05,8.85E-06,2.68E-05,4.62E-05,8.59E+02
1894,9.91E-05,1.00E-05,2.37E-05,3.27E-05,8.60E+02
1895,6.98E-05,9.82E-06,3.60E-05,3.33E-05,8.61E+02
1896,7.81E-05,1.08E-05,4.12E-05,3.26E-05,8.62E+02
1897,8.41E-05,9.97E-06,4.64E-05,3.52E-05,8.63E+02
1898,6.73E-05,7.74E-06,2.18E-05,2.69E-05,8.64E+02
1899,8.41E-05,8.92E-06,3.39E-05,4.56E-05,8.65E+02
1900,8.89E-05,1.15E-05,2.45E-05,3.88E-05,8.66E+02
1901,9.00E-05,1.33E-05,2.81E-05,3.65E-05,8.67E+02
1902,6.63E-05,6.12E-06,1.07E-05,1.07E-05,8.68E+02
1903,5.76E-05,8.61E-06,1.03E-05,1.18E-05,8.69E+02
1904,6.03E-05,6.01E-06,1.61E-05,1.34E-05,8.70E+02
1905,5.80E-05,6.63E-06,1.57E-05,1.23E-05,8.71E+02
1906,6.85E-05,8.98E-06,1.35E-05,2.70E-05,8.72E+02
1907,6.36E-05,7.55E-06,1.12E-05,2.42E-05,8.73E+02
1908,6.01E-05,7.52E-06,9.82E-06,1.74E-05,8.74E+02
1909,6.94E-05,9.31E-06,2.12E-05,1.86E-05,8.75E+02
1910,9.27E-05,1.34E-05,3.67E-05,2.98E-05,8.76E+02
1911,5.81E-05,6.90E-06,1.72E-05,1.97E-05,8.77E+02
1912,7.46E-05,1.07E-05,2.32E-05,2.86E-05,8.78E+02
1913,9.76E-05,1.23E-05,3.05E-05,4.26E-05,8.79E+02
1914,6.11E-05,4.30E-06,7.95E-06,9.88E-06,8.80E+02
1915,9.49E-05,8.57E-06,1.52E-05,1.93E-05,8.81E+02
1916,8.29E-05,7.02E-06,1.45E-05,1.42E-05,8.82E+02
1917,8.96E-05,1.49E-05,5.24E-05,6.50E-05,8.83E+02
1918,9.79E-05,1.56E-05,4.61E-05,6.00E-05,8.84E+02
1919,6.40E-05,8.20E-06,1.35E-05,2.14E-05,8.85E+02
1920,9.77E-05,1.59E-05,3.90E-05,4.50E-05,8.86E+02
1921,7.05E-05,5.95E-06,1.47E-05,1.87E-05,8.87E+02
1922,9.70E-05,1.81E-05,2.88E-05,3.73E-05,8.88E+02
1923,6.50E-05,7.49E-06,1.54E-05,2.45E-05,8.89E+02
1924,5.89E-05,8.97E-06,2.05E-05,1.98E-05,8.90E+02
1925,6.19E-05,7.07E-06,1.94E-05,1.66E-05,8.91E+02
1926,6.78E-05,6.91E-06,2.15E-05,1.86E-05,8.92E+02
1927,6.91E-05,5.75E-06,1.50E-05,1.38E-05,8.93E+02
1928,7.37E-05,7.99E-06,1.37E-05,1.61E-05,8.94E+02
1929,6.18E-05,7.25E-06,1.12E-05,1.39E-05,8.95E+02
1930,8.64E-05,7.25E-06,1.41E-05,1.56E-05,8.96E+02
1931,7.03E-05,1.67E-05,2.81E-05,2.81E-05,8.97E+02
1932,9.61E-05,2.19E-05,4.64E-05,4.86E-05,8.98E+02
1933,7.73E-05,1.33E-05,3.00E-05,3.12E-05,8.99E+02
1934,6.11E-05,1.03E-05,2.24E-05,1.37E-05,9.00E+02
1935,6.40E-05,7.31E-06,1.88E-05,1.33E-05,9.01E+02
1936,6.75E-05,9.39E-06,2.24E-05,3.36E-05,9.02E+02
1937,7.73E-05,2.04E-05,3.37E-05,4.14E-05,9.03E+02
1938,7.02E-05,1.51E-05,2.76E-05,3.10E-05,9.04E+02
1939,7.57E-05,1.11E-05,1.59E-05,1.69E-05,9.05E+02
1940,9.13E-05,1.49E-05,2.47E-05,3.55E-05,9.06E+02
1941,7.33E-05,7.51E-06,2.41E-05,2.17E-05,9.07E+02
1942,5.51E-05,7.22E-06,2.20E-05,1.87E-05,9.08E+02
1943,5.98E-05,8.12E-06,3.18E-05,3.17E-05,9.09E+02
1944,5.88E-05,9.66E-06,3.64E-05,2.89E-05,9.10E+02
1945,6.67E-05,7.13E-06,2.76E-05,1.89E-05,9.11E+02
1946,6.93E-05,1.57E-05,4.54E-05,3.48E-05,9.12E+02
1947,7.29E-05,1.27E-05,4.46E-05,3.37E-05,9.13E+02
1948,5.93E-05,8.02E-06,2.56E-05,2.49E-05,9.14E+02
1949,9.11E-05,1.36E-05,2.85E-05,2.90E-05,9.15E+02
1950,6.02E-05,1.48E-05,2.75E-05,2.52E-05,9.16E+02
1951,6.69E-05,7.80E-06,9.91E-06,1.28E-05,9.17E+02
1952,9.21E-05,1.94E-05,2.17E-05,3.43E-05,9.18E+02
1953,8.43E-05,1.34E-05,2.21E-05,3.10E-05,9.19E+02
1954,5.88E-05,8.21E-06,2.51E-05,1.36E-05,9.20E+02
1955,7.09E-05,8.74E-06,4.09E-05,2.38E-05,9.21E+02
1956,7.78E-05,1.03E-05,1.78E-05,2.55E-05,9.22E+02
1957,8.29E-05,9.84E-06,2.42E-05,4.41E-05,9.23E+02
1958,6.97E-05,9.55E-06,2.61E-05,3.32E-05,9.24E+02
1959,6.90E-05,5.76E-06,1.15E-05,9.65E-06,9.25E+02
1960,9.08E-05,7.77E-06,1.53E-05,2.39E-05,9.26E+02
1961,8.80E-05,1.04E-05,1.91E-05,2.24E-05,9.27E+02
1962,6.05E-05,6.44E-06,1.27E-05,9.34E-06,9.28E+02
1963,8.64E-05,9.36E-06,3.03E-05,1.23E-05,9.29E+02
1964,6.37E-05,6.33E-06,1.80E-05,9.86E-06,9.30E+02
1965,6.66E-05,7.24E-06,1.23E-05,1.51E-05,9.31E+02
1966,6.07E-05,5.54E-06,1.43E-05,1.27E-05,9.32E+02
1967,7.07E-05,1.42E-05,1.82E-05,1.67E-05,9.33E+02
1968,6.65E-05,7.54E-06,2.08E-05,1.26E-05,9.34E+02
1969,6.26E-05,9.85E-06,3.24E-05,1.97E-05,9.35E+02
1970,6.02E-05,6.33E-06,1.76E-05,1.29E-05,9.36E+02
1971,6.50E-05,1.06E-05,2.58E-05,2.82E-05,9.37E+02
1972,9.64E-05,1.46E-05,4.25E-05,3.05E-05,9.38E+02
1973,7.62E-05,1.01E-05,3.51E-05,2.18E-05,9.39E+02
1974,9.26E-05,1.16E-05,2.92E-05,2.04E-05,9.40E+02
1975,8.14E-05,1.49E-05,2.86E-05,2.72E-05,9.41E+02
1976,9.41E-05,1.07E-05,2.63E-05,2.53E-05,9.42E+02
1977,7.39E-05,8.03E-06,1.31E-05,1.55E-05,9.43E+02
1978,6.53E-05,1.07E-05,1.59E-05,1.57E-05,9.44E+02
1979,6.24E-05,7.93E-06,2.26E-05,2.09E-05,9.45E+02
1980,7.57E-05,8.01E-06,2.04E-05,2.11E-05,9.46E+02
1981,6.81E-05,1.30E-05,2.58E-05,1.60E-05,9.47E+02
1982,6.12E-05,1.20E-05,2.21E-05,1.57E-05,9.48E+02
1983,9.33E-05,1.53E-05,3.93E-05,2.49E-05,9.49E+02
1984,8.26E-05,1.00E-05,3.37E-05,2.09E-05,9.50E+02
1985,6.74E-05,1.01E-05,3.35E-05,1.90E-05,9.51E+02
1986,6.53E-05,8.97E-06,3.71E-05,2.21E-05,9.52E+02
1987,7.02E-05,1.29E-05,2.38E-05,2.68E-05,9.53E+02
1988,7.77E-05,8.95E-06,1.83E-05,2.21E-05,9.54E+02
1989,9.54E-05,8.14E-06,2.64E-05,3.59E-05,9.55E+02
1990,7.71E-05,7.43E-06,2.04E-05,1.89E-05,9.56E+02
1991,9.04E-05,1.22E-05,3.12E-05,3.46E-05,9.57E+02
1992,7.10E-05,7.13E-06,1.60E-05,1.68E-05,9.58E+02
1993,8.44E-05,7.69E-06,1.86E-05,1.34E-05,9.59E+02
1994,7.85E-05,7.71E-06,2.43E-05,1.80E-05,9.60E+02
1995,7.76E-05,1.59E-05,4.84E-05,3.81E-05,9.61E+02
1996,9.94E-05,1.27E-05,2.76E-05,3.01E-05,9.62E+02
1997,7.63E-05,6.13E-06,1.37E-05,1.35E-05,9.63E+02
1998,9.09E-05,8.28E-06,2.91E-05,2.73E-05,9.64E+02
1999,6.32E-05,7.97E-06,1.62E-05,1.59E-05,9.65E+02
2000,6.77E-05,5.13E-06,1.25E-05,1.66E-05,9.66E+02
2001,6.19E-05,9.68E-06,1.47E-05,2.20E-05,9.67E+02
2002,5.76E-05,1.37E-05,2.34E-05,2.12E-05,9.68E+02
2003,9.63E-05,1.47E-05,6.39E-05,4.30E-05,9.69E+02
2004,9.69E-05,1.29E-05,5.68E-05,3.21E-05,9.70E+02
2005,7.91E-05,1.11E-05,5.08E-05,3.75E-05,9.71E+02
2006,6.89E-05,5.08E-06,2.09E-05,1.71E-05,9.72E+02
2007,5.42E-05,4.79E-06,1.27E-05,1.53E-05,9.73E+02
2008,7.17E-05,1.27E-05,4.00E-05,2.19E-05,9.74E+02
2009,9.00E-05,1.22E-05,5.59E-05,2.76E-05,9.75E+02
2010,5.92E-05,9.67E-06,4.44E-05,2.38E-05,9.76E+02
2011,7.43E-05,1.41E-05,3.97E-05,3.38E-05,9.77E+02
2012,5.64E-05,6.91E-06,1.63E-05,1.52E-05,9.78E+02
2013,5.36E-05,4.68E-06,2.66E-05,1.06E-05,9.79E+02
2014,6.51E-05,9.16E-06,4.24E-05,2.11E-05,9.80E+02
2015,6.48E-05,9.91E-06,1.62E-05,1.68E-05,9.81E+02
2016,8.81E-05,9.96E-06,2.61E-05,2.16E-05,9.82E+02
2017,5.79E-05,9.41E-06,3.29E-05,2.24E-05,9.83E+02
2018,9.40E-05,1.31E-05,4.57E-05,3.43E-05,9.84E+02
2019,6.51E-05,8.85E-06,1.57E-05,2.05E-05,9.85E+02
2020,9.78E-05,2.06E-05,4.44E-05,3.05E-05,9.86E+02
2021,7.95E-05,1.58E-05,3.89E-05,2.39E-05,9.87E+02
2022,6.74E-05,9.73E-06,1.63E-05,1.13E-05,9.88E+02
2023,8.05E-05,1.19E-05,1.61E-05,2.12E-05,9.89E+02
2024,8.80E-05,8.21E-06,1.87E-05,2.88E-05,9.90E+02
2025,7.68E-05,6.05E-06,1.87E-05,1.44E-05,9.91E+02
2026,9.01E-05,8.93E-06,3.99E-05,2.43E-05,9.92E+02
2027,9.10E-05,9.40E-06,1.71E-05,1.74E-05,9.93E+02
2028,5.68E-05,6.74E-06,1.01E-05,1.70E-05,9.94E+02
2029,6.17E-05,5.57E-06,7.39E-06,1.73E-05,9.95E+02
2030,7.46E-05,6.97E-06,1.65E-05,2.27E-05,9.96E+02
2031,6.77E-05,5.57E-06,1.09E-05,1.28E-05,9.97E+02
2032,8.13E-05,8.44E-06,2.62E-05,2.01E-05,9.98E+02
2033,5.71E-05,6.89E-06,1.52E-05,1.84E-05,9.99E+02
2034,6.66E-05,7.06E-06,1.53E-05,1.63E-05,1.00E+03
2035,7.96E-05,1.34E-05,4.01E-05,2.53E-05,1.00E+03
2036,8.16E-05,3.62E-05,7.88E-05,4.68E-05,1.00E+03
2037,8.39E-05,1.60E-05,5.94E-05,3.99E-05,1.00E+03
2038,8.71E-05,1.82E-05,5.99E-05,4.85E-05,1.00E+03
2039,5.80E-05,9.00E-06,1.15E-05,1.66E-05,1.01E+03
2040,9.05E-05,1.03E-05,2.27E-05,2.71E-05,1.01E+03
2041,7.00E-05,6.96E-06,2.53E-05,1.45E-05,1.01E+03
2042,9.76E-05,1.40E-05,4.63E-05,2.34E-05,1.01E+03
2043,9.94E-05,1.63E-05,4.01E-05,1.90E-05,1.01E+03
2044,6.71E-05,1.22E-05,3.35E-05,1.70E-05,1.01E+03
2045,8.43E-05,8.60E-06,1.88E-05,1.68E-05,1.01E+03
2046,7.92E-05,7.00E-06,1.93E-05,1.39E-05,1.01E+03
2047,6.20E-05,7.27E-06,1.92E-05,1.19E-05,1.01E+03
2048,9.95E-05,1.64E-05,3.42E-05,4.46E-05,1.01E+03
2049,6.97E-05,1.23E-05,2.10E-05,2.47E-05,1.02E+03
2050,9.76E-05,9.17E-06,1.36E-05,2.28E-05,1.02E+03
2051,5.73E-05,5.55E-06,9.76E-06,7.51E-06,1.02E+03
2052,9.39E-05,8.46E-06,2.12E-05,3.34E-05,1.02E+03
2053,5.78E-05,4.61E-06,1.06E-05,2.04E-05,1.02E+03
2054,6.31E-05,8.41E-06,2.16E-05,1.84E-05,1.02E+03
2055,9.08E-05,8.11E-06,3.03E-05,2.73E-05,1.02E+03
2056,7.71E-05,7.73E-06,2.66E-05,2.29E-05,1.02E+03
2057,6.69E-05,5.90E-06,2.29E-05,1.79E-05,1.02E+03
2058,7.36E-05,7.70E-06,2.24E-05,1.53E-05,1.02E+03
2059,9.23E-05,1.36E-05,3.94E-05,3.24E-05,1.03E+03
2060,7.56E-05,1.40E-05,3.72E-05,3.27E-05,1.03E+03
2061,6.17E-05,8.50E-06,2.36E-05,1.96E-05,1.03E+03
2062,9.96E-05,1.02E-05,4.06E-05,3.21E-05,1.03E+03
2063,6.14E-05,7.29E-06,9.79E-06,1.38E-05,1.03E+03
2064,7.75E-05,2.09E-05,4.63E-05,1.43E-05,1.03E+03
2065,8.05E-05,1.42E-05,3.96E-05,1.82E-05,1.03E+03
2066,8.99E-05,1.73E-05,5.87E-05,3.64E-05,1.03E+03
2067,8.19E-05,1.30E-05,5.16E-05,3.34E-05,1.03E+03
2068,9.67E-05,1.95E-05,5.68E-05,3.98E-05,1.03E+03
2069,9.94E-05,9.54E-06,2.48E-05,2.42E-05,1.04E+03
2070,8.48E-05,1.91E-05,3.34E-05,2.53E-05,1.04E+03
2071,6.32E-05,8.59E-06,1.76E-05,1.30E-05,1.04E+03
2072,9.07E-05,1.69E-05,3.34E-05,2.48E-05,1.04E+03
2073,8.55E-05,1.85E-05,3.75E-05,2.48E-05,1.04E+03
2074,9.24E-05,1.53E-05,4.38E-05,2.47E-05,1.04E+03
2075,7.18E-05,1.29E-05,3.56E-05,2.07E-05,1.04E+03
2076,6.31E-05,6.46E-06,1.26E-05,8.45E-06,1.04E+03
2077,6.48E-05,5.52E-06,1.15E-05,1.08E-05,1.04E+03
2078,7.71E-05,1.05E-05,1.70E-05,3.95E-05,1.04E+03
2079,8.21E-05,1.67E-05,3.55E-05,6.07E-05,1.05E+03
2080,9.30E-05,1.24E-05,2.83E-05,4.93E-05,1.05E+03
2081,8.89E-05,1.41E-05,2.90E-05,2.09E-05,1.05E+03
2082,7.09E-05,9.07E-06,2.21E-05,1.94E-05,1.05E+03
2083,5.64E-05,7.09E-06,2.15E-05,1.89E-05,1.05E+03
2084,9.42E-05,1.26E-05,4.17E-05,4.01E-05,1.05E+03
2085,6.25E-05,8.32E-06,1.91E-05,1.86E-05,1.05E+03
2086,9.07E-05,1.96E-05,6.81E-05,5.70E-05,1.05E+03
2087,7.34E-05,1.05E-05,2.92E-05,2.95E-05,1.05E+03
2088,7.72E-05,1.25E-05,2.76E-05,3.96E-05,1.05E+03
2089,8.73E-05,1.21E-05,2.89E-05,3.60E-05,1.06E+03
2090,9.68E-05,1.53E-05,2.97E-05,3.83E-05,1.06E+03
2091,6.42E-05,7.10E-06,1.29E-05,1.36E-05,1.06E+03
2092,9.80E-05,1.01E-05,1.30E-05,1.53E-05,1.06E+03
2093,7.82E-05,7.20E-06,1.08E-05,7.84E-06,1.06E+03
2094,5.57E-05,5.01E-06,6.03E-06,7.89E-06,1.06E+03
2095,5.93E-05,5.10E-06,7.60E-06,8.52E-06,1.06E+03
2096,6.44E-05,8.11E-06,2.34E-05,1.95E-05,1.06E+03
2097,8.16E-05,1.28E-05,3.91E-05,3.52E-05,1.06E+03
2098,9.28E-05,1.52E-05,5.56E-05,5.45E-05,1.06E+03
2099,7.50E-05,1.16E-05,3.44E-05,2.06E-05,1.07E+03
2100,7.59E-05,1.26E-05,3.12E-05,1.97E-05,1.07E+03
2101,7.20E-05,1.16E-05,2.35E-05,1.91E-05,1.07E+03
2102,9.78E-05,1.95E-05,4.97E-05,6.05E-05,1.07E+03
2103,8.49E-05,1.23E-05,3.93E-05,4.87E-05,1.07E+03
2104,8.37E-05,1.42E-05,2.49E-05,3.41E-05,1.07E+03
2105,8.61E-05,2.30E-05,4.25E-05,2.94E-05,1.07E+03
2106,6.68E-05,1.41E-05,2.10E-05,1.56E-05,1.07E+03
2107,6.57E-05,1.03E-05,1.58E-05,2.16E-05,1.07E+03
2108,6.07E-05,1.05E-05,1.29E-05,1.21E-05,1.07E+03
2109,6.15E-05,8.79E-06,1.72E-05,1.96E-05,1.08E+03
2110,6.46E-05,7.59E-06,2.09E-05,2.07E-05,1.08E+03
2111,7.09E-05,6.71E-06,1.79E-05,1.83E-05,1.08E+03
2112,9.46E-05,1.19E-05,2.55E-05,2.91E-05,1.08E+03
2113,7.08E-05,1.01E-05,2.71E-05,2.70E-05,1.08E+03
2114,5.59E-05,7.23E-06,1.60E-05,1.48E-05,1.08E+03
2115,8.99E-05,1.81E-05,1.88E-05,2.13E-05,1.08E+03
2116,9.04E-05,1.46E-05,3.31E-05,3.75E-05,1.08E+03
2117,6.22E-05,7.19E-06,1.74E-05,1.90E-05,1.08E+03
2118,9.76E-05,1.00E-05,1.89E-05,2.43E-05,1.08E+03
2119,7.79E-05,1.02E-05,1.43E-05,2.11E-05,1.09E+03
2120,6.76E-05,6.68E-06,9.59E-06,1.47E-05,1.09E+03
2121,8.04E-05,1.14E-05,2.39E-05,4.21E-05,1.09E+03
2122,8.74E-05,1.01E-05,1.72E-05,2.37E-05,1.09E+03
2123,7.99E-05,1.62E-05,3.91E-05,4.80E-05,1.09E+03
2124,8.73E-05,1.36E-05,3.61E-05,5.19E-05,1.09E+03
2125,9.73E-05,1.14E-05,2.49E-05,3.85E-05,1.09E+03
2126,7.04E-05,7.23E-06,1.20E-05,2.05E-05,1.09E+03
2127,7.75E-05,1.73E-05,4.81E-05,4.90E-05,1.09E+03
2128,7.91E-05,1.42E-05,4.24E-05,4.29E-05,1.09E+03
2129,8.13E-05,1.03E-05,2.12E-05,2.67E-05,1.10E+03
2130,9.64E-05,9.91E-06,1.94E-05,2.29E-05,1.10E+03
2131,9.48E-05,1.83E-05,2.95E-05,2.67E-05,1.10E+03
2132,8.91E-05,1.59E-05,2.98E-05,3.07E-05,1.10E+03
2133,9.00E-05,1.21E-05,3.23E-05,2.90E-05,1.10E+03
2134,9.97E-05,8.60E-06,2.29E-05,2.08E-05,1.10E+03
2135,6.16E-05,6.02E-06,1.05E-05,1.08E-05,1.10E+03
2136,9.52E-05,1.55E-05,5.04E-05,2.73E-05,1.10E+03
2137,5.93E-05,9.79E-06,2.27E-05,1.38E-05,1.10E+03
2138,6.98E-05,9.80E-06,2.25E-05,2.46E-05,1.10E+03
2139,6.47E-05,8.37E-06,1.13E-05,1.69E-05,1.11E+03
2140,6.49E-05,1.08E-05,1.65E-05,2.89E-05,1.11E+03
2141,9.24E-05,9.51E-06,1.62E-05,2.36E-05,1.11E+03
2142,7.14E-05,8.75E-06,1.41E-05,1.96E-05,1.11E+03
2143,8.04E-05,8.58E-06,1.18E-05,2.36E-05,1.11E+03
2144,7.41E-05,1.08E-05,3.45E-05,2.70E-05,1.11E+03
2145,8.77E-05,9.74E-06,4.10E-05,2.77E-05,1.11E+03
2146,7.03E-05,1.11E-05,2.91E-05,2.57E-05,1.11E+03
2147,9.45E-05,1.40E-05,1.98E-05,3.93E-05,1.11E+03
2148,6.56E-05,7.66E-06,1.45E-05,1.69E-05,1.11E+03
2149,7.83E-05,1.23E-05,2.89E-05,2.92E-05,1.12E+03
2150,7.04E-05,1.04E-05,2.43E-05,2.12E-05,1.12E+03
2151,7.12E-05,1.11E-05,2.20E-05,1.91E-05,1.12E+03
2152,7.56E-05,9.93E-06,1.96E-05,1.76E-05,1.12E+03
2153,8.99E-05,1.22E-05,3.38E-05,2.99E-05,1.12E+03
2154,9.52E-05,1.92E-05,4.84E-05,5.59E-05,1.12E+03
2155,9.05E-05,1.03E-05,3.11E-05,2.66E-05,1.12E+03
2156,9.07E-05,1.03E-05,2.39E-05,2.33E-05,1.12E+03
2157,6.88E-05,1.00E-05,1.45E-05,1.99E-05,1.12E+03
2158,8.53E-05,8.53E-06,2.76E-05,2.19E-05,1.12E+03
2159,8.08E-05,7.48E-06,2.88E-05,1.91E-05,1.13E+03
2160,6.71E-05,7.57E-06,1.51E-05,1.52E-05,1.13E+03
2161,6.78E-05,7.38E-06,9.45E-06,1.48E-05,1.13E+03
2162,7.02E-05,9.55E-06,1.36E-05,1.75E-05,1.13E+03
2163,8.13E-05,8.06E-06,1.76E-05,2.08E-05,1.13E+03
2164,7.05E-05,6.41E-06,1.38E-05,1.39E-05,1.13E+03
2165,7.64E-05,1.11E-05,3.28E-05,3.36E-05,1.13E+03
2166,8.33E-05,1.33E-05,3.59E-05,3.13E-05,1.13E+03
2167,7.38E-05,1.26E-05,2.82E-05,2.22E-05,1.13E+03
2168,9.40E-05,1.15E-05,5.15E-05,2.55E-05,1.13E+03
2169,5.72E-05,7.33E-06,2.34E-05,1.65E-05,1.14E+03
2170,8.80E-05,9.82E-06,1.51E-05,3.06E-05,1.14E+03
2171,7.01E-05,9.06E-06,2.16E-05,2.45E-05,1.14E+03
2172,8.07E-05,1.15E-05,1.95E-05,3.01E-05,1.14E+03
2173,5.75E-05,7.95E-06,1.51E-05,2.61E-05,1.14E+03
2174,9.50E-05,7.19E-06,2.26E-05,1.87E-05,1.14E+03
2175,5.93E-05,9.61E-06,2.08E-05,2.09E-05,1.14E+03
2176,7.23E-05,9.69E-06,3.33E-05,3.01E-05,1.14E+03
2177,6.61E-05,8.34E-06,2.91E-05,2.69E-05,1.14E+03
2178,8.44E-05,1.40E-05,5.57E-05,6.83E-05,1.14E+03
2179,9.11E-05,1.12E-05,5.45E-05,5.48E-05,1.15E+03
2180,7.82E-05,7.45E-06,2.25E-05,2.13E-05,1.15E+03
2181,8.32E-05,1.79E-05,4.60E-05,4.40E-05,1.15E+03
2182,8.66E-05,1.45E-05,3.04E-05,2.69E-05,1.15E+03
2183,9.31E-05,1.17E-05,2.73E-05,3.18E-05,1.15E+03
2184,7.40E-05,1.21E-05,3.36E-05,2.51E-05,1.15E+03
2185,6.50E-05,1.03E-05,2.79E-05,2.19E-05,1.15E+03
2186,9.03E-05,1.47E-05,2.77E-05,3.26E-05,1.15E+03
2187,7.16E-05,1.03E-05,2.48E-05,1.72E-05,1.15E+03
2188,8.24E-05,1.41E-05,5.56E-05,3.31E-05,1.15E+03
2189,9.10E-05,1.41E-05,6.75E-05,3.71E-05,1.16E+03
2190,6.24E-05,1.08E-05,4.33E-05,3.37E-05,1.16E+03
2191,9.03E-05,1.56E-05,5.48E-05,3.77E-05,1.16E+03
2192,6.90E-05,1.06E-05,4.09E-05,2.31E-05,1.16E+03
2193,9.45E-05,1.46E-05,6.00E-05,3.67E-05,1.16E+03
2194,6.22E-05,7.94E-06,3.42E-05,2.14E-05,1.16E+03
2195,6.68E-05,8.85E-06,3.10E-05,2.13E-05,1.16E+03
2196,6.74E-05,1.30E-05,3.49E-05,3.17E-05,1.16E+03
2197,6.86E-05,8.59E-06,1.88E-05,1.62E-05,1.16E+03
2198,6.48E-05,7.26E-06,1.21E-05,1.30E-05,1.16E+03
2199,6.22E-05,6.95E-06,1.15E-05,1.73E-05,1.17E+03
2200,8.59E-05,1.94E-05,2.37E-05,2.97E-05,1.17E+03
2201,9.75E-05,2.72E-05,5.31E-05,5.02E-05,1.17E+03
2202,6.45E-05,7.13E-06,2.03E-05,1.37E-05,1.17E+03
2203,6.90E-05,7.73E-06,1.46E-05,1.55E-05,1.17E+03
2204,6.05E-05,1.25E-05,2.32E-05,3.02E-05,1.17E+03
2205,9.13E-05,1.52E-05,8.32E-05,7.90E-05,1.17E+03
2206,6.47E-05,1.78E-05,4.42E-05,4.07E-05,1.17E+03
2207,6.46E-05,1.29E-05,2.88E-05,3.05E-05,1.17E+03
2208,6.49E-05,1.27E-05,3.37E-05,3.47E-05,1.17E+03
2209,5.84E-05,1.21E-05,2.62E-05,2.78E-05,1.18E+03
2210,8.83E-05,1.23E-05,2.09E-05,3.65E-05,1.18E+03
2211,9.47E-05,1.05E-05,2.37E-05,3.64E-05,1.18E+03
2212,9.70E-05,1.27E-05,4.22E-05,3.84E-05,1.18E+03
2213,8.67E-05,9.13E-06,2.00E-05,4.07E-05,1.18E+03
2214,8.99E-05,1.24E-05,3.09E-05,2.24E-05,1.18E+03
2215,8.63E-05,1.19E-05,4.03E-05,3.31E-05,1.18E+03
2216,5.48E-05,7.18E-06,1.16E-05,1.34E-05,1.18E+03
2217,9.00E-05,1.26E-05,2.88E-05,3.21E-05,1.18E+03
2218,6.02E-05,1.00E-05,2.44E-05,1.98E-05,1.18E+03
2219,8.06E-05,1.68E-05,4.14E-05,2.76E-05,1.19E+03
2220,8.95E-05,1.99E-05,6.33E-05,5.57E-05,1.19E+03
2221,5.81E-05,1.53E-05,4.20E-05,3.06E-05,1.19E+03
2222,5.97E-05,1.29E-05,3.67E-05,2.64E-05,1.19E+03
2223,9.40E-05,1.37E-05,4.78E-05,4.35E-05,1.19E+03
2224,5.60E-05,1.21E-05,4.57E-05,2.83E-05,1.19E+03
2225,8.38E-05,1.33E-05,7.24E-05,4.63E-05,1.19E+03
2226,7.55E-05,1.61E-05,3.33E-05,3.52E-05,1.19E+03
2227,8.30E-05,1.40E-05,4.59E-05,4.88E-05,1.19E+03
2228,5.88E-05,1.05E-05,3.35E-05,4.34E-05,1.19E+03
2229,6.38E-05,1.78E-05,5.56E-05,3.34E-05,1.20E+03
2230,5.72E-05,1.11E-05,4.40E-05,2.93E-05,1.20E+03
2231,5.83E-05,8.55E-06,1.72E-05,1.31E-05,1.20E+03
2232,9.55E-05,1.71E-05,4.50E-05,3.66E-05,1.20E+03
2233,6.18E-05,1.34E-05,2.90E-05,2.45E-05,1.20E+03
2234,6.11E-05,9.78E-06,1.85E-05,1.48E-05,1.20E+03
2235,7.24E-05,1.20E-05,2.71E-05,4.51E-05,1.20E+03
2236,8.44E-05,1.12E-05,1.95E-05,4.59E-05,1.20E+03
2237,5.97E-05,7.66E-06,1.41E-05,2.96E-05,1.20E+03
2238,5.80E-05,1.28E-05,2.49E-05,4.00E-05,1.20E+03
2239,9.76E-05,1.86E-05,3.95E-05,5.74E-05,1.21E+03
2240,7.08E-05,9.16E-06,1.44E-05,1.56E-05,1.21E+03
2241,8.23E-05,1.03E-05,1.74E-05,2.40E-05,1.21E+03
2242,7.90E-05,8.52E-06,1.80E-05,2.15E-05,1.21E+03
2243,6.67E-05,9.40E-06,2.21E-05,2.81E-05,1.21E+03
2244,7.60E-05,1.61E-05,3.67E-05,5.94E-05,1.21E+03
2245,7.01E-05,1.16E-05,1.96E-05,3.75E-05,1.21E+03
2246,7.86E-05,6.72E-06,1.05E-05,1.54E-05,1.21E+03
2247,7.06E-05,1.06E-05,1.11E-05,2.79E-05,1.21E+03
2248,7.72E-05,1.24E-05,3.77E-05,3.80E-05,1.21E+03
2249,9.06E-05,1.41E-05,5.79E-05,6.39E-05,1.22E+03
2250,9.23E-05,4.15E-05,6.76E-05,4.37E-05,1.22E+03
2251,6.36E-05,3.24E-05,3.88E-05,2.38E-05,1.22E+03
2252,7.09E-05,9.81E-06,1.92E-05,1.68E-05,1.22E+03
2253,9.33E-05,2.15E-05,7.25E-05,4.31E-05,1.22E+03
2254,6.01E-05,6.83E-06,2.83E-05,1.45E-05,1.22E+03
2255,5.42E-05,7.22E-06,1.33E-05,2.22E-05,1.22E+03
2256,7.98E-05,1.53E-05,3.21E-05,4.84E-05,1.22E+03
2257,9.01E-05,1.15E-05,2.58E-05,3.25E-05,1.22E+03
2258,5.93E-05,8.56E-06,1.54E-05,2.21E-05,1.22E+03
