[Name],,,,,
Momentum and Mass,,,,,
,,,,,
[Data],,,,,
Accumulated Timestep,RMS P-Mass,RMS U-Mom,RMS V-Mom,RMS W-Mom,Current Timestep
85,1.08E-03,1.99E-04,8.21E-04,9.13E-04,1.00E+00
86,8.78E-05,1.26E-05,1.85E-05,1.69E-05,2.00E+00
87,9.38E-05,1.22E-05,2.80E-05,3.45E-05,3.00E+00
88,6.94E-05,9.32E-06,2.59E-05,3.49E-05,4.00E+00
89,7.60E-05,1.03E-05,1.79E-05,2.84E-05,5.00E+00
90,6.16E-05,8.15E-06,1.65E-05,2.07E-05,6.00E+00
91,9.35E-05,1.09E-05,1.42E-05,2.50E-05,7.00E+00
92,7.36E-05,5.70E-06,5.70E-06,8.99E-06,8.00E+00
93,5.70E-05,4.62E-06,4.30E-06,4.70E-06,9.00E+00
94,9.68E-05,6.41E-06,9.23E-06,9.73E-06,1.00E+01
95,8.85E-05,7.68E-06,1.91E-05,8.32E-06,1.10E+01
96,8.33E-05,1.04E-05,3.50E-05,2.79E-05,1.20E+01
97,8.78E-04,2.42E-04,8.51E-04,8.98E-04,1.00E+00
98,9.84E-05,1.45E-05,1.79E-05,2.37E-05,2.00E+00
99,5.97E-05,1.16E-05,1.59E-05,1.65E-05,3.00E+00
100,6.94E-05,6.28E-06,9.64E-06,8.73E-06,4.00E+00
101,5.66E-05,8.25E-06,1.50E-05,1.53E-05,5.00E+00
102,5.89E-05,9.26E-06,2.00E-05,2.77E-05,6.00E+00
103,7.62E-05,1.34E-05,3.43E-05,4.78E-05,7.00E+00
104,8.03E-05,9.92E-06,1.49E-05,2.78E-05,8.00E+00
105,7.27E-05,1.41E-05,1.71E-05,1.27E-05,9.00E+00
106,6.33E-05,1.45E-05,2.06E-05,2.41E-05,1.00E+01
107,6.69E-05,8.48E-06,6.97E-06,8.81E-06,1.10E+01
108,7.93E-05,8.06E-06,1.29E-05,1.29E-05,1.20E+01
109,6.16E-05,5.91E-06,1.54E-05,1.34E-05,1.30E+01
110,5.80E-05,5.46E-06,1.22E-05,1.24E-05,1.40E+01
111,7.60E-05,8.29E-06,1.53E-05,1.58E-05,1.50E+01
112,5.98E-05,9.09E-06,2.05E-05,2.26E-05,1.60E+01
113,6.70E-05,7.78E-06,2.15E-05,2.37E-05,1.70E+01
114,9.92E-05,1.39E-05,2.55E-05,3.31E-05,1.80E+01
115,9.17E-05,1.02E-05,1.01E-05,1.90E-05,1.90E+01
116,5.79E-05,5.23E-06,1.59E-05,1.81E-05,2.00E+01
117,7.64E-05,7.77E-06,2.65E-05,3.10E-05,2.10E+01
118,8.74E-05,8.87E-06,1.04E-05,1.39E-05,2.20E+01
119,9.44E-05,1.00E-05,1.18E-05,1.94E-05,2.30E+01
120,6.77E-05,1.09E-05,1.47E-05,2.48E-05,2.40E+01
121,9.40E-05,1.00E-05,1.48E-05,2.71E-05,2.50E+01
122,6.02E-05,8.04E-06,1.27E-05,2.03E-05,2.60E+01
123,7.97E-05,1.50E-05,3.88E-05,4.64E-05,2.70E+01
124,8.68E-05,1.33E-05,3.66E-05,4.72E-05,2.80E+01
125,6.36E-05,9.26E-06,1.22E-05,2.10E-05,2.90E+01
126,7.00E-04,1.65E-04,7.44E-04,8.94E-04,1.00E+00
127,8.64E-05,1.29E-05,2.12E-05,2.30E-05,2.00E+00
128,9.63E-05,1.19E-05,1.71E-05,2.34E-05,3.00E+00
129,6.20E-05,4.61E-06,5.51E-06,8.75E-06,4.00E+00
130,9.48E-05,1.04E-05,2.60E-05,2.49E-05,5.00E+00
131,8.88E-05,1.28E-05,2.48E-05,2.78E-05,6.00E+00
132,6.33E-05,6.95E-06,1.23E-05,1.16E-05,7.00E+00
133,9.76E-05,8.44E-06,2.57E-05,2.72E-05,8.00E+00
134,6.46E-05,7.61E-06,1.02E-05,1.48E-05,9.00E+00
135,7.64E-05,8.62E-06,1.77E-05,2.26E-05,1.00E+01
136,9.45E-05,9.38E-06,1.74E-05,2.43E-05,1.10E+01
137,7.57E-05,8.54E-06,1.47E-05,2.15E-05,1.20E+01
138,7.60E-05,7.21E-06,1.20E-05,1.65E-05,1.30E+01
139,7.94E-05,1.06E-05,1.69E-05,2.89E-05,1.40E+01
140,7.36E-05,9.15E-06,1.40E-05,3.09E-05,1.50E+01
141,8.12E-05,1.05E-05,1.42E-05,2.41E-05,1.60E+01
142,7.23E-05,7.66E-06,1.42E-05,2.13E-05,1.70E+01
143,9.89E-05,9.69E-06,2.06E-05,2.42E-05,1.80E+01
